xid,yid,date_id,hour,wind,rainfall
1,1,1,3,9.29,0
1,2,1,3,9.567,0
1,3,1,3,10.004,0
1,4,1,3,10.376,0
1,5,1,3,10.85,0
1,6,1,3,10.499,0
1,7,1,3,10.408,0
1,8,1,3,10.487,0
1,9,1,3,10.488,0
1,10,1,3,10.709,0
1,11,1,3,9.367,0
1,12,1,3,9.522,0
1,13,1,3,9.955,0.047
1,14,1,3,10.29,0
1,15,1,3,10.89,0
1,16,1,3,10.607,0
1,17,1,3,10.514,0
1,18,1,3,10.563,0
1,19,1,3,10.58,0
1,20,1,3,11.493,0
1,21,1,3,9.454,0
1,22,1,3,9.587,0.12
1,23,1,3,9.899,0.436
1,24,1,3,10.367,0
1,25,1,3,10.9,0
1,26,1,3,10.573,0
1,27,1,3,10.628,0
1,28,1,3,10.701,0
1,29,1,3,10.523,0
1,30,1,3,10.963,0
1,31,1,3,9.563,0
1,32,1,3,9.667,0.28
1,33,1,3,9.807,0.992
1,34,1,3,10.554,0
1,35,1,3,10.88,0
1,36,1,3,10.67,0
1,37,1,3,10.71,0
1,38,1,3,10.837,0
1,39,1,3,10.636,0
1,40,1,3,11.53,0
1,41,1,3,9.598,0
1,42,1,3,9.713,0
1,43,1,3,9.796,0.001
1,44,1,3,10.556,0
1,45,1,3,10.99,0
1,46,1,3,10.76,0
1,47,1,3,10.759,0
1,48,1,3,10.862,0
1,49,1,3,10.668,0
1,50,1,3,11.28,0
1,51,1,3,9.598,0
1,52,1,3,9.723,0
1,53,1,3,9.95,0
1,54,1,3,10.428,0
1,55,1,3,11.06,0
1,56,1,3,10.83,0
1,57,1,3,10.791,0
1,58,1,3,10.904,0
1,59,1,3,10.622,0
1,60,1,3,11.2,0
1,61,1,3,9.592,0
1,62,1,3,9.8,0
1,63,1,3,10.057,0
1,64,1,3,10.401,0
1,65,1,3,11.1,0
1,66,1,3,10.85,0
1,67,1,3,10.81,0
1,68,1,3,10.96,0
1,69,1,3,10.447,0
1,70,1,3,11.21,0
1,71,1,3,9.495,0
1,72,1,3,9.799,0
1,73,1,3,10.081,0
1,74,1,3,10.401,0
1,75,1,3,11.05,0
1,76,1,3,10.83,0
1,77,1,3,10.84,0
1,78,1,3,11.01,0
1,79,1,3,10.452,0
1,80,1,3,11.17,0
1,81,1,3,9.385,0
1,82,1,3,9.815,0
1,83,1,3,10.142,0
1,84,1,3,10.43,0
1,85,1,3,11,0
1,86,1,3,10.84,0
1,87,1,3,10.869,0
1,88,1,3,11.09,0
